CNUM_PK,BRAND,MODEL,CARTYPE,2023_1,2023_2,2023_3,2023_4,2023_5,2023_6,2023_7,2023_8,2023_9,2023_10,2023_11,2023_12
25,1,쏠라티,12,68,124,124,79,71,98,114,118,102,84,119,121
26,1,더 뉴 아반떼 N,3,0,0,0,0,0,0,2,163,221,131,115,152
27,1,코나,8,233,98,54,25,10,0,6,0,0,0,0,0
28,1,아반떼 N,3,82,79,83,35,43,20,0,0,0,0,0,0
29,1,아이오닉 5 N,9,0,0,0,0,0,0,0,0,93,95,54,28
30,1,카운티 일렉트릭,12,8,3,11,8,6,7,9,17,7,16,11,9
31,1,그랜저,5,13,2,0,0,0,0,0,0,0,0,0,0
32,1,코나 N,8,1,0,0,0,0,28,0,0,0,0,0,0
33,2,스포티지,9,5492,5689,6018,6282,6185,6418,6625,5210,5402,4707,5982,5739
34,2,카니발,11,6904,6039,6873,6481,6695,6358,6109,4937,4366,3933,0,0
35,2,셀토스,8,3366,5552,3891,4119,4792,5224,4770,3512,4399,3008,4446,3758
36,2,봉고 3,12,3626,4041,4902,4349,4194,3545,4171,3391,4061,4183,5512,3958
37,2,쏘렌토,9,4611,4745,6890,6835,6499,6978,5678,7176,10190,8777,9364,8068
38,2,레이,1,3585,4268,4155,4158,4576,4372,4285,4402,3409,3524,3200,3269
39,2,K8,5,3451,4168,4569,4011,4487,4469,3513,2457,2406,2248,2799,1859
40,2,K5,4,2560,2653,3421,2739,3166,2963,2246,2613,2280,2592,0,0
41,2,EV6,9,0,1951,3009,2694,1894,1379,1398,948,601,1564,1096,693
42,2,니로,8,1268,1170,1482,1391,1468,1534,1370,1302,1505,1359,1293,1172
43,2,봉고 3 EV,12,29,5025,2016,1137,1164,1026,1577,610,706,998,643,221
44,2,K3,3,950,1024,1197,670,975,1540,976,1123,1036,939,1428,1346
45,2,모닝,1,1813,2049,2127,2164,2502,2245,2033,2910,1892,2225,2111,1808
46,2,더 뉴 카니발,11,0,0,0,0,0,0,0,0,0,0,5857,5305
47,2,EV9,10,0,0,0,0,0,1334,1251,408,1163,833,375,2688
48,2,더 뉴 K5,4,0,0,0,0,0,0,0,0,0,0,3783,3563
49,2,모하비,10,482,504,710,483,318,510,459,379,317,293,313,252
50,2,니로 EV,8,1,418,737,729,522,458,244,392,176,236,248,84
51,2,K9,6,431,301,432,422,310,366,372,347,232,226,236,223
52,2,레이 EV,1,0,0,0,0,0,0,0,0,55,1300,1387,985
53,2,니로 플러스,8,0,292,460,475,462,298,303,115,103,218,120,70
54,2,버스 (기아),0,71,96,126,114,110,120,127,102,111,91,129,106
55,2,스팅어,4,113,120,143,61,45,1,0,0,0,0,0,0
56,3,GV60,9,7,210,716,530,598,422,227,127,104,111,96,50
57,3,GV70,9,1149,2468,2977,2446,2288,3781,3209,2833,2743,3467,2819,2617
58,3,GV80,10,1881,1673,2786,2916,2737,2572,1900,1692,1507,27,1,0
59,3,G70,4,317,220,466,379,248,469,559,457,384,278,267,276
60,3,G80,5,4057,4290,4670,4407,4701,4647,3169,2855,2765,1931,2956,2092
61,3,G90,6,944,835,1120,1023,1417,1629,1102,1054,836,646,719,1154
62,3,Electrified GV70,9,0,0,0,320,327,247,206,94,121,240,91,31
63,3,Electrified G80,5,0,0,0,166,112,71,83,68,54,38,67,37
64,3,New GV80,10,0,0,0,0,0,0,0,0,0,858,3873,4437
65,4,트랙스 크로스오버,8,0,0,0,3072,3396,3842,2807,2129,1425,3043,2306,1637
66,4,트레일블레이저,8,430,380,620,1042,946,849,694,674,558,496,425,407
67,4,콜로라도,12,107,98,178,184,127,147,141,120,91,335,98,37
68,4,볼트 EUV,8,0,0,179,283,88,78,229,209,397,121,32,12
69,4,스파크,1,310,392,410,307,0,0,0,0,0,0,0,0
70,4,트래버스,10,80,85,108,128,90,117,106,63,58,199,81,47
71,4,이쿼녹스,9,61,55,70,80,15,46,42,22,45,176,18,26
72,4,타호,10,13,20,24,25,33,21,14,13,9,50,14,13
73,4,볼트 EV,2,0,0,18,53,13,31,49,29,19,17,19,0
74,4,말리부,4,20,24,29,5,0,5,4,0,0,0,0,15
75,4,단종모델 (말리부/임팔라),4,0,0,0,0,0,5,0,0,0,0,0,0
76,4,트랙스,8,0,0,0,1,0,0,0,0,0,0,0,0
77,5,토레스,9,5444,4813,6595,3553,2463,2907,1443,1592,1584,1628,1546,1383
78,5,렉스턴 스포츠,12,387,756,790,692,740,797,868,734,872,840,557,550
